Name,Price1,Price2,Price3
ABSINTHE FLAVOR **,
gallon - $1119.70 (USD),case (4) 2week lead time - $460.00 (USD)
ABSINTHE FLAVOR CONCENTRATE,

ABSINTHE II FLAVOR,
gallon - $133.80 (USD),case (4) 2week lead time - $528.00 (USD)
ACAI FLAVOR,
gallon - $110.00 (USD),case (4) 2week lead time - $420.00 (USD),double case (8) 2 week lead time - $824.00 (USD)
ACETYL PYRAZINE 5 PG,
gallon - $220.00 (USD),case (4 gallons) - $800.00 (USD),"double case (8) 2 week lead time - $1,560.00 (USD)"
ALMOND AMARETTO FLAVOR,
gallon - $90.00 (USD),case (4) 2week lead time - $320.00 (USD)
ALMOND FLAVOR,
gallon - $85.50 (USD)
APPLE (TART GRANNY SMITH) FLAVOR **,
gallon - $114.00 (USD),case (4) 2week lead time - $416.00 (USD)
APPLE (TART GREEN APPLE) FLAVOR,
gallon - $135.00 (USD),case (4) 2week lead time - $520.00 (USD),"double case (8) 2 week lead time - $1,024.00 (USD)"
APPLE CANDY FLAVOR**,
gallon - $114.00 (USD),case (4 gallons) - $416.00 (USD),double case (8) 2 week lead time - $808.24 (USD)
APPLE FLAVOR,
gallon - $102.60 (USD),case (4 gallons) - $360.00 (USD),double case (8) 2 week lead time - $679.78 (USD)
APPLE PIE FLAVOR,
gallon - $114.00 (USD),case (4 gallons) - $420.00 (USD),double case (8) 2 week lead time - $768.24 (USD)
APRICOT FLAVOR,
gallon - $96.90 (USD),case (4 gallons) - $360.00 (USD)
BANANA CREAM FLAVOR,
gallon - $85.50 (USD),case (4 gallons) - $336.00 (USD),double case (8) 2 week lead time - $660.00 (USD)
BANANA FLAVOR,
gallon - $85.50 (USD),case (4) 2week lead time - $320.00 (USD),double case (8) 2 week lead time - $624.00 (USD)
BANANA NUT BREAD FLAVOR,
gallon - $85.50 (USD),case (4 gallons) - $334.00 (USD),double case (8) 2 week lead time - $652.00 (USD)
BANANAS FOSTER FLAVOR,
gallon - $127.00 (USD),case (4) 2week lead time - $500.00 (USD),double case (8) 2 week lead time - $992.00 (USD)
BAVARIAN CREAM FLAVOR,
gallon - $99.75 (USD),case (4 gallons) - $392.00 (USD),double case (8) - $774.00 (USD)
BERRY CEREAL FLAVOR,
gallon - $120.00 (USD),case (4 gallons) - $472.00 (USD),double case (8) 2 week lead time - $928.00 (USD)
BERRY MIX FLAVOR,
gallon - $114.00 (USD),case (4) 2week lead time - $448.00 (USD),double case (8) 2 week lead time - $880.00 (USD)
BERRY TOBACCO TYPE FLAVOR CC,
gallon - $240.00 (USD)
BIRCH BEER AND TOBACCO TYPE FLAVOR CC,
gallon - $260.00 (USD)
BITTER NUT EXTRA FLAVOR,
gallon - $240.00 (USD),case (4) 2week lead time - $928.00 (USD)
BITTERSWEET CHOCOLATE FLAVOR,
gallon - $148.20 (USD)
BLACK CHERRY FLAVOR,
gallon - $91.20 (USD),case (4 gallons) - $320.00 (USD),double case (8) 2 week lead time - $624.00 (USD)
BLACK CURRANT FLAVOR,
gallon - $96.00 (USD),case (4 gallons) - $376.00 (USD),double case (8) 2 week lead time - $736.00 (USD)
BLACK HONEY FLAVOR,
gallon - $116.00 (USD),case (4) 2week lead time - $424.00 (USD),double case (8) 2 week lead time - $800.00 (USD)
BLACK TEA DELUXE FLAVOR,

BLACK TEA FLAVOR**,

BLACKBERRY FLAVOR,
gallon - $91.20 (USD),case (4 gallons) - $356.80 (USD),double case (8) 2 week lead time - $697.60 (USD)
BLUE RASPBERRY FLAVOR **,
gallon - $226.00 (USD),case (4) 2week lead time - $896.00 (USD)
BLUEBERRY (RIPE) FLAVOR,
case (4) 2week lead time - $635.00 (USD)
BLUEBERRY (WILD) FLAVOR,
gallon - $85.50 (USD),case (4 gallons) - $332.00 (USD),double case (8) 2 week lead time - $648.00 (USD)
BLUEBERRY CANDY FLAVOR (PG),
gallon - $148.20 (USD),case (4 gallons) - $552.80 (USD),"double case (8) 2 week lead time - $1,099.00 (USD)"
BLUEBERRY CANDY FLAVOR (TRIACETIN),
gallon - $148.20 (USD)
BLUEBERRY FLAVOR (EXTRA),
gallon - $85.50 (USD),case (4 gallons) - $332.00 (USD),double case (8) 2 week lead time - $648.00 (USD)
BOURBON FLAVOR,
